task_index,task_name,total_rollouts,success_count,failure_count,success_rate,timeout_count,timeout_rate,avg_success_steps,avg_all_steps,avg_episode_time_seconds,avg_inference_latency_ms,p95_inference_latency_ms,avg_end_to_end_latency_ms,p95_end_to_end_latency_ms,avg_control_frequency_hz,peak_vram_gb
0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,50,0,50,0.0,50,1.0,,520.0,83.49837923999999,123.00027475978892,124.10766910761595,155.35611948657495,158.3257380872965,6.436824009925239,14.849611282348633
1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,50,0,50,0.0,50,1.0,,520.0,84.3171645,124.04810419363471,125.07119681686163,156.88388545983113,160.13540048152208,6.37414095825694,14.850433826446533
2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,50,0,50,0.0,50,1.0,,520.0,80.7001883,123.95208169047076,125.88579580187798,151.26426636986434,155.0608517602086,6.610946682905575,14.848788738250732
3,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,50,0,50,0.0,50,1.0,,520.0,81.61503074000001,124.0735615609357,126.4006968587637,151.5907053120721,156.0582771897316,6.59671051692352,14.851256370544434
4,LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,50,0,50,0.0,50,1.0,,520.0,85.78476278,124.00111027391485,124.99218191951513,155.87487740886326,158.25135130435228,6.415401998212822,14.855496883392334
5,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,50,3,47,0.06,47,0.94,275.6666666666667,505.34,78.6739224,123.6483013207182,124.52240586280823,149.24870234874942,151.35437957942486,6.700225759171428,14.851256370544434
6,LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,50,0,50,0.0,50,1.0,,520.0,82.4352111,123.92731287946495,124.77140184491873,151.34280521666201,153.42244189232588,6.607515954051482,14.857380390167236
7,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,50,0,50,0.0,50,1.0,,520.0,81.30405134,123.96205656645962,124.90829713642597,151.47916570449104,154.9681395292282,6.601567914301974,14.850433826446533
8,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,50,0,50,0.0,50,1.0,,520.0,80.67513966,122.91948261384208,123.70201870799065,151.19388698141736,153.44829950481653,6.61402401886067,14.845133304595947
9,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,50,0,50,0.0,50,1.0,,520.0,81.69059567999999,123.84816594479176,124.91923961788416,151.26806930166023,154.05094046145678,6.610780481410061,14.850433826446533
